Nome;CNPJ;UF;CNAE Principal;CNAE Sec;Telefone;Email
;49601424000109;SP;4772500;4781400,4789099,4783101;(11) 0;LUIZAYOKOATO@GMAIL.COM
;49863777000179;SP;4772500;4781400;(11) 10405829;QFSILVA@BOL.COM.BR
DESIRE FRAGRANCES INC.;50047606000150;EX;4646001;;;MPIACOMINI@HOTMAIL.COM
;50078953000140;SP;4772500;;(11) 0;MICHELINE.OLIVEIRA_15@HOTMAIL.COM
;50095747000149;BA;4772500;4721104;(71) 0;LIMAELENI01@GMAIL.COM
;50143987000171;SP;4772500;;(0) 0;TALITAOLIVEIRAERICK@GMAIL.COM
;50327565000156;SE;4772500;4781400,4755502;(11) 16697136;HENDHYFOFURA@HOTMAIL.COM
;50414843000102;SP;4772500;7319002,4759899,4754702;(11) 11111111;TAVARESDIRA@GMAIL.COM
;45149249000100;SP;4772500;;(11) 17581702;VAMOR.COSMETICOS@GMAIL.COM
;51058619000198;PE;4772500;;(0) 0;BRUNOKELIO98@GMAIL.COM
;51077692000107;SP;4772500;;(11) 11111111;JOHN.KEVIIN10@GMAIL.COM
BIRTHHAIR;51160843000196;SP;4772500;;(11) 15978674;AMAURYCOELHOCOELHO@GMAIL.COM
;51352065000137;PA;4772500;;(91) 0;VANIASILVA951005@GMAIL.COM
;51398484000100;MG;4772500;;(31) 0;DRIKASANTOAS47@GMAIL.COM
;51659320000199;PR;4772500;;(00) 10000000;VALTERLAURINDOSILVA@HOTMAIL.COM
;52073363000150;SP;4772500;;(11) 16496357;JONATHANCBENTO@GMAIL.COM
;52334568000142;RJ;4772500;;(21) 11111111;CNIS030@OUTLOOK.COM
;52442875000147;SP;4772500;9602501;(11) 10211525;STEFFANIPR0309@ICLOUD.COM
;52506886000143;SP;4772500;;(0) 0;LARISSA-BABA@HOTMAIL.COM
;52580597000194;SP;4772500;;(13) 0;MALCEDO@IG.COM.BR
;53004820000118;SP;4772500;;(11) 13597561;CLAUDEMIR.BBRYAN@GMAIL.COM
;53046747000147;SP;4772500;8230001,5611205;(11) 17899107;SHEIKEVENTOSCORP@GMAIL.COM
;53055150000169;PB;4772500;;(83) 0;EFREIRE620@GMAIL.COM
;53091388000140;SP;4772500;4781400,7319002,1013901;(11) 12500195;GIOVANNACAMILADIAS@HOTMAIL.COM
COSMOS COSMETICOS;53253218000114;SP;4772500;4751201,4752100,4753900,4757100,4774100,4781400,4782201,4782202,4789001;(11) 15908122;COSMOSCOSMETICOS@GMAIL.COM
;53330257000178;RJ;4772500;;(21) 0;KA.KAROL.PEIXOTO@GMAIL.COM
;53512726000170;RJ;4772500;;(21) 00000001;MGRCONSULT@HOTMAIL.COM
;53573806000135;SP;4772500;4759899;(0) 0;AMANDAFARIASFELICIAN@HOTMAIL.COM
;53789722000133;SP;4772500;4789003,4781400,4763602,4755503,4754703;(11) 0;CAIOT@LIVE.COM
;53834571000198;PR;4772500;4781400,4763601;(0) 0;INDIANARASASSI@GMAIL.COM
;53868887000109;SP;4772500;4789099,4789001,4530703,4752100,4781400,4751201,4729699,4763602,4763601,4754703,4930201,4789007;(19) 00000000;THIAGOOCARMO@GMAIL.COM
;53924169000102;BA;4772500;;(0) 0;ZEDANITA2@GMAIL.COM
;53998004000177;PE;4772500;;(0) 0;FABIOSAMPAIO87SPORT@GMAIL.COM
;54079638000199;SP;4772500;4789099,4781400,4751201,4759899,4763604,4759801,4755502,4755503,4763601,4753900,4789007,4789005;(21) 0;NFM.AMZSELLER@GMAIL.COM
;54080815000157;PR;4772500;4752100,4789099,4781400,4789001,1412601,4729699,4763602,4755503,4763601,4783102,4783101;(45) 0;DE.IA.FRIEND@HOTMAIL.COM
;54123817000186;RJ;4772500;;(21) 0;MAYCONGONZ@GMAIL.COM
ELIXIR FRAGRANCIAS;54168462000141;DF;4772500;4757100;(11) 11525651;SAC@ELIXIRFRAGRANCIAS.COM
;54379295000188;SP;4772500;7319002;(11) 0;VALDEANE.GOMES2911@GMAIL.COM
PARAISO DAS LASHES;54510597000143;SP;4772500;;(11) 15609832;BARBARAGARRIDO11@HOTMAIL.COM
;54831750000134;SP;4772500;4755503;(19) 0;FA.BIANA-BARBOSA@HOTMAIL.COM
;54913120000109;RJ;4772500;4732600,4781400,4789099,4789001,4759899,4782201;(21) 02198053;MYGLOSSLOJAMAKE@GMAIL.COM
;54956421000110;RJ;4772500;;(21) 0;ADELAMAKE@GMAIL.COM
;55088902000113;SP;4772500;;(14) 00000000;MATOSSAMIRA24@GMAIL.COM
;55547487000119;SP;4772500;9602502;(11) 0;SATOINGRID.MELO@GMAIL.COM
;55648985000158;SP;4772500;3299099;(11) 11111111;NADINACARDOZO@GMAIL.COM
;55456988000270;SP;4772500;4789001;(11) 11111111;O3M@FRANQUIAO3M.COM.BR
;55759829000164;MT;4772500;4781400;(0) 0;3MCOSMETICOS2018@GMAIL.COM
;55829655000169;SP;4772500;;(11) 13711114;BIACORE.GM@GMAIL.COM
;55842244000103;SP;4772500;;(11) 18406035;VDALVES23@GMAIL.COM
;56031709000109;SP;4772500;4789099,9602502;(11) 19331614;KAYSILVA768@GMAIL.COM
;56251694000194;MG;4772500;;(33) 0;JANAINAALVES2009@GMAIL.COM
;56321759000120;ES;4772500;;(27) 0;LUAGARDIOLI@GMAIL.COM
;56343839000187;RJ;4772500;;(0) 0;CIRLESMENEGATTI@GMAIL.COM
;56705365000176;RS;4772500;;(51) 0;ALEXANDRE.SANTOS.8@HOTMAIL.COM
;56944840000167;SP;4772500;;(0) 0;GISELECUTTRIM18@GMAIL.COM
;56991401000105;SP;4772500;4781400;(14) 00000000;EDILAINECRISFERREIRA@GMAIL.COM
MONICA;57048420000165;SP;4646001;4641903,4755502,4763601,4772500,4789001;(11) 11111111;KEVINYAO333@GMAIL.COM
;57208267000196;SP;4772500;4781400,4789099,9602501,4759899,4755502,4763602,9602502,4789007,4782201,4783102,4783101;(11) 13603413;ELEMGPB@GMAIL.COM
;57265614000112;SP;4772500;;(11) 13571021;ASVNENE60@GMAIL.COM
;57272003000100;SP;4772500;9602501;(11) 11042451;DANILOAZEVEDOOUTLOOK@GMAIL.COM
;57319507000120;SP;4772500;4789099,4781400,4755502,4755503,4763601,4773300;(11) 11990152;LOJACLAUPLUS@GMAIL.COM
;57364199000154;SP;4772500;;(11) 12685362;NATALIAIZIDORO@LIVE.COM
SUPER DINAMICA;57451348000112;PR;4772500;4729699,4761001,5811500,5819100,8599604;(00) 10000000;CONTATO@AUDCONTCONTABILIDADE.COM.BR
;57552130000154;SP;4772500;;(16) 0;MKUTILIDADESTORE@GMAIL.COM
;57566298000119;SP;4772500;4789099;(11) 15360358;VANESSAFIGUEIREDOAP@GMAIL.COM
;57576643000103;RJ;4772500;;(21) 0;PRISCILA_CARRILHO@OUTLOOK.COM.BR
;57634601000173;SP;4772500;4759899;(11) 14196192;MILLERCABELOS@HOTMAIL.COM
;57718944000116;SP;4772500;;(12) 0;WILLIAN3ALERCIO@GMAIL.COM
;57791740000100;RJ;4772500;;(21) 0;FRANCISCALIMA89804@GMAIL.COM
;57807985000189;MG;4772500;1731100,2063100,4646001,4686902;(31) 00010001;XXXXXXX@XXX.XXX.XX
;57875248000113;PR;4772500;;(41) 0;ELISMIRANDALOJA@GMAIL.COM
;57928090000100;SP;4772500;9602502;(11) 0;BEATRIZSCCP1910@ICLOUD.COM
;58040277000128;PA;4772500;;(0) 0;TELBARROS423@GMAIL.COMO
;58050700000170;PR;4772500;4781400,4783101;(0) 0;JARDIMSECRETO.OFFICIAL@GMAIL.COM
;58075820000122;SP;4772500;4789003,4789099,4789001,4530703,4530704,4757100,4781400,4755503,4763602,4754701,4763601,4753900,4782201;(11) 15199251;NFBEAUTYMAKEUP@GMAIL.COM
;58191694000171;SP;4772500;4752100,4789099,4781400,3240099,4763602,4755503,3299002,4783101,4789005;(11) 14784848;GEEH2011@LIVE.COM
;58475907000197;SP;4772500;;(0) 0;BSURHOFF@GMAIL.COM
;58654913000101;SP;4772500;;(0) 0;MARIA_PEROZZI@HOTMAIL.COM
;58661909000170;RJ;4772500;;(0) 0;LARAOLIVEIRA.LO226@GMAIL.COM
;58720583000105;DF;4772500;;(0) 0;MFPERFUMES2025@GMAIL.COM
;58834985000130;SP;4772500;;(11) 0;SIMONE_CAETANO13@HOTMAIL.COM
;58957305000176;SP;4772500;;(0) 0;GLAUCIAALMEIDARS@GMAIL.COM
;59083061000102;SP;4772500;4761003;(00) 00000000;IVONEIDE.B.R@HOTMAIL.COM
;59091380000160;PI;4772500;9602502;(00) 00000000;CRIKAALVES98@GMAIL.COM
;59181673000138;SP;4772500;;(11) 14243891;BRTODAO@GMAIL.COM
;59268002000109;MG;4772500;4729699,5611203;(11) 11111111;EXATAECONTABIL@HOTMAIL.COM
;59375278000196;DF;4772500;4781400;(61) 0;XXX@GMAIL.COM
;59390455000103;SP;4772500;4789001;(11) 14786000;EVRICPERFUMESECOSMETICOS@GMAIL.COM
;59576648000153;SP;4772500;;(11) 10104777;ABERTURA@MAISMEI.COM.BR
;55456988000785;SP;4772500;4789001;(11) 11111111;O3M@GRUPOOYAMA.COM.BR
;59733484000120;GO;4772500;3299006;(0) 0;LEONARDOPARREIRA27@HOTMAIL.COM
;59766534000176;SP;4772500;;(19) 0;EDYVMARQUES@GMAIL.COM
;59777056000108;SP;4772500;;(11) 14739331;MAKEUPMANIA846@GMAIL.COM
;59787984000145;SP;4772500;4789099;(11) 0;ELAINEFARIASANTANA@GMAIL.COM
;60036314000176;SP;4772500;;(11) 0;WESKEWCOMERCIO@GMAIL.COM
;60059012000113;SP;4772500;4781400,4755503,4763601;(11) 13990354;ALICIACONTABIL@HOTMAIL.COM
;60082692000196;SP;4772500;;(11) 16895077;ABERTURA@MAISMEI.COM.BR
;60212304000144;SP;4772500;4789005;(19) 0;JANEBUENO56@GMAIL.COM
;60219982000139;SP;4772500;5310502,4752100,5620104,4781400,8712300,4789001,9609206,1749400,3212400,7420001;(0) 0;MARIACASTILHO006@GMAIL.COM1
;60559779000101;AM;4772500;;(0) 0;ADOLFOCHAPELLIN32@GMAIL.COM
;60581796000145;RJ;4772500;4789099,4781400,4789001,4723700,4721103,4713002,4712100,4755502,4721102,5611204,4789005;(24) 11111111;SHALONADM2022@GMAIL.COM
YAB;60613076000114;SP;4772500;1412601,4530701,4530703,4643502,4649406,4713002,4744001,4751201,4752100,4753900,4754703,4755502,4759899,4761003,4763601,4774100,4781400,4782202,4783102,4789001,4789099,5211799;(11) 11111111;SEMEMAIL@SEMEMAIL.COM
;60636935000190;SP;4772500;4781400;(11) 11111111;EDUARDAH.SZZ@GMAIL.COM
;60745032000148;SP;4772500;;(0) 0;FLAVIASANTHUS74@GMAIL.COM
;60849570000182;SP;4772500;;(11) 16951373;ABERTURA@MAISMEI.COM.BR
;55630916000117;SP;4772500;4759899,4781400;(11) 14876193;THAMIRESBENTO661@GMAIL.COM
;60961857000108;RJ;4772500;4752100,4751201,4753900;(22) 0;LUCASVG@OUTLOOK.COM
;60972025000189;SP;4772500;;(14) 10045494;MAJUSTORE_AGUDOS@HOTMAIL.COM
;61170513000135;RJ;4772500;;(21) 11111111;FGN.ASSOCIADOS@HOTMAIL.COM
;61247248000146;SP;4772500;4752100;(11) 13459780;RSIMPORTTS.BR@GMAIL.COM
;61418994000155;SP;4772500;;(0) 0;ANDREIA.RK@GMAIL.COM
;61460004000147;GO;4772500;;(00) 00000000;YASMINNIMOREIRA8@GMAIL.COM
;61492048000159;PI;4772500;4722901,4721103,4723700,4782201,4789005;(86) 0;MAIDSON.CS@GMAIL.COM
;61516855000164;MG;4772500;;(0) 0;CONTATO@CONTABILIDADEMG.COM.BR
;61533751000168;SP;4772500;4783101;(11) 19669159;CONTATOMAGOPRATA@GMAIL.COM
IMPERIO DO AROMA;61581870000196;SP;4772500;4646001;(11) 15699014;EMPORIODOSAROMASOFFICIAL@GMAIL.COM
;61607557000180;SP;4772500;4781400,4755502,4763601;(12) 12988505;GESSICAEDER@OUTLOOK.COM
;61611499000168;PB;4772500;;(83) 0;YASMINSANTOSPARATRABALHO@GMAIL.COM
;61630716000167;RR;4772500;;(0) 0;ROBERT.CONTABEISUFRR2016@GMAIL.COM
;61672565000100;PE;4772500;;(0) 0;KARINNEFERRO@GMAIL.COM
;61700089000193;MG;4646001;4635402,4642701;(31) 06053918;LANASOLUCOESCONTABEIS@GMAIL.COM
;61719143000142;SP;4772500;4789099;(0) 0;BELEZABELA5623@GMAIL.COM
;61739043000188;SP;4772500;4781400;(11) 0;MA.CAARVALHOR@GMAIL.COM
;61739562000146;SP;4772500;;(11) 18546980;CARMEMSILVIAGONCALVES@GMAIL.COM
;61755194000120;BA;4772500;4789005;(75) 0;PELEE_AROMA@OUTLOOK.COM
;61991726000128;SP;4772500;;(15) 0;FODOBE8298@KLOUDIS.COM
;62079940000175;SP;4772500;4789099;(11) 12242816;QAMAR.PERFUMARIA@GMAIL.COM
;62093862000163;AL;4772500;4781400;(82) 0;NEIDEMARIA1975@HOTMAIL.COM
;62164735000108;SP;4772500;;(11) 0;RENATOALVESCUNHA77@GMAIL.COM
;62196884000159;SP;4772500;;(11) 17450898;ABERTURA@MAISMEI.COM.BR
;62203911000173;SP;4772500;4781400;(11) 13296956;ELISANELOPESSANTOS12@GMAIL.COM
;62217158000175;SP;4772500;;(18) 0;JACKSOUSA07@ICLOUD.COM
;62228316000192;CE;4772500;4781400,4789001,4713002,4755502,4763602,4755503;(88) 0;ANALOIOLAST@HOTMAIL.COM
;62270035000106;SP;4772500;;(11) 13767802;S.JULIADOS23@YAHOO.COM
IP COSMETICOS;62293531000177;RJ;4772500;4729699,4781400;(11) 11111111;IGORCAHANOVICH1@GMAIL.COM
WEI LIN;62325703000147;EX;4646001;;;CRISTIANO@SHEENCOLOR.COM
;62359669000121;SP;4772500;;(11) 10833144;EXPLORANDOESTILOSDIVERSOS@GMAIL.COM
;62439669000131;SP;4772500;;(0) 0;THAYNA_TAF@OUTLOOK.COM
;62446857000197;SP;4772500;4781400,4729699;(11) 0;NASCIMENTO_VICTOR@ICLOUD.COM
;62586073000164;RJ;4772500;4763601;(0) 0;MARIAALDENIJESUS2022@GMAIL.COM
;62741072000147;RJ;4772500;;(21) 0;DBDM@MAIL.COM
;62772251000141;RJ;4772500;5620104,1091102;(21) 0;MANILHARAQUEL@GMAIL.COM
;62811640000139;GO;4772500;;(62) 0;JHEINNYROSA53@GMAIL.COM
;62840646000134;SP;4772500;;(11) 13308360;AQUINO.PAULA@HOTMAIL.COM
;62847414000108;SP;4772500;;(00) 00000000;LILLIANNIKS@GMAIL.COM
;62883096000130;ES;4772500;;(27) 0;GRAZI.UNILETRA@GMAIL.COM
;62913073000121;SP;4772500;;(13) 13996227;RAYANEVALENTIM0424@GMAIL.COM
AC MONTEIRO COSMETICOS;62787113000136;AC;4772500;4729699,4781400;(11) 11111111;PINHEIRO.KA12@GMAIL.COM
;63098554000193;SP;4772500;;(11) 11325115;GRUPOMELECH@GMAIL.COM
;63162741000199;CE;4772500;3299099;(0) 0;VLAYS17@GMAIL.COM
;63168725000103;MG;4772500;4781400,4782202,9602501,9602502;(31) 00010001;XXXXXXX@XXX.XXX.XX
;63252819000166;SP;4772500;4789001;(11) 13354486;OFICIALWRMAKE@GMAIL.COM
YES SHOPPING DA BAHIA;63297579000116;BA;4772500;;(83) 19696969;PIRESCONTABILIDADEPB@GMAIL.COM
;63368032000164;SC;4772500;4752100,9609208,4751201,4530704,4789007;(19) 0;KETELLENOUKETI@GMAIL.COM
;63404150000180;SP;4772500;4752100,4789099,5912099,7319002,4755503,4789008;(11) 13017193;YASMINMT.CRUZ@GMAIL.COM
;63430008000108;RS;4772500;;(51) 0;LAIS.ALESSANDRA4@GMAIL.COM
;63466011000181;SP;4772500;;(11) 0;DONNAMAKES01@GMAIL.COM
